"","gedlong","gedlat","ID","event_country","year","civdeath","region","gid","diamsec_y","diamprim_y","petroleum_y","row","col","xcoord","ycoord","diamsec_s","diamprim_s","petroleum_s","diamdummy","oildummy","GDP","Population","logGDP","uncivdeath"
"4491",-70.08275,10.17554,204084,"Venezuela",1999,0,"Americas",144220,0,0,0,201,220,-70.25,10.25,0,0,0,0,0,2.79e+11,23739841,26.3544776187678,1
"4492",126.235556,-8.738333,142034,"Indonesia",1999,1.09861228866811,"Asia",117253,0,0,0,163,613,126.25,-8.75,0,0,0,0,0,4.32e+11,208615169,26.7916914251905,3
"4493",-71.64056,10.63167,204086,"Venezuela",1999,0,"Americas",144937,0,0,1,202,217,-71.75,10.75,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,1
"4494",98,22,51416,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4495",123.583333,-10.183333,141672,"Indonesia",1999,0,"Asia",115088,0,0,0,160,608,123.75,-10.25,0,0,0,0,0,4.32e+11,208615169,26.7916914251905,0
"4496",-9.5,6.5,43655,"Liberia",1999,2.99573227355399,"Africa",139302,0,0,0,194,342,-9.25,6.75,0,0,0,0,0,NA,NA,NA,20
"4497",69.47648,36.963459,135106,"Afghanistan",1999,0,"Asia",182659,0,0,0,254,499,69.25,36.75,0,0,0,0,0,NA,20170844,NA,0
"4498",98,22,50359,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4499",47.6269,42.8496,191676,"Russia (Soviet Union)",1999,2.39789527279837,"Europe",191256,0,0,1,266,456,47.75,42.75,0,0,0,0,1,NA,NA,NA,11
"4500",98,22,49880,"Myanmar (Burma)",1999,1.09861228866811,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,3
"4501",30.75,12,7629,"Sudan",1999,2.39789527279837,"Africa",147302,0,0,0,205,422,30.75,12.25,0,0,0,0,0,32021097644,26626520,24.1896608238775,11
"4502",30.75,12,7758,"Sudan",1999,2.19722457733622,"Africa",147302,0,0,0,205,422,30.75,12.25,0,0,0,0,0,32021097644,26626520,24.1896608238775,9
"4503",30.75,12,8261,"Sudan",1999,2.94443897916644,"Africa",147302,0,0,0,205,422,30.75,12.25,0,0,0,0,0,32021097644,26626520,24.1896608238775,19
"4504",-66.879193,10.488011,204097,"Venezuela",1999,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,0
"4505",29.395,-3.4094,10077,"Burundi",1999,1.79175946922805,"Africa",124979,0,0,0,174,419,29.25,-3.25,0,0,0,0,0,NA,NA,NA,6
"4506",125.162222,-9.140556,141673,"Indonesia",1999,0.693147180559945,"Asia",116531,0,0,0,162,611,125.25,-9.25,0,0,1,0,1,4.32e+11,208615169,26.7916914251905,2
"4507",-66.66308,10.23409,204098,"Venezuela",1999,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,1
"4508",124.383333,-9.2,142051,"Indonesia",1999,0,"Asia",116529,0,0,0,162,609,124.25,-9.25,0,0,0,0,0,4.32e+11,208615169,26.7916914251905,0
"4509",98,22,49738,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4510",97.7,17.7,50986,"Myanmar (Burma)",1999,0.693147180559945,"Asia",155356,0,0,0,216,556,97.75,17.75,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"4511",-68.0125,10.47306,204099,"Venezuela",1999,0,"Americas",144224,0,0,0,201,224,-68.25,10.25,0,0,0,0,0,2.79e+11,23739841,26.3544776187678,1
"4512",98.75,13,50521,"Myanmar (Burma)",1999,0,"Asia",148878,0,0,0,207,558,98.75,13.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4513",97.401111,23.0925,50125,"Myanmar (Burma)",1999,0,"Asia",163275,0,0,0,227,555,97.25,23.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4514",98,22,49552,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4515",98,22,49914,"Myanmar (Burma)",1999,0.693147180559945,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"4516",98,22,49742,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4517",125.566667,-8.566667,141675,"Indonesia",1999,5.01063529409626,"Asia",117252,0,0,0,163,612,125.75,-8.75,0,0,0,0,0,4.32e+11,208615169,26.7916914251905,150
"4518",97.856653,15.249117,50726,"Myanmar (Burma)",1999,0,"Asia",151756,0,0,0,211,556,97.75,15.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4519",98.75,13,50520,"Myanmar (Burma)",1999,2.39789527279837,"Asia",148878,0,0,0,207,558,98.75,13.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,11
"4520",6.833333,4.75,16930,"Nigeria",1999,0,"Africa",136454,0,0,1,190,374,6.75,4.75,0,0,0,0,1,1.61e+11,119260063,25.8046702019309,0
"4521",45.7477,43.3058,191629,"Russia (Soviet Union)",1999,3.2188758248682,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,25
"4522",98,22,50265,"Myanmar (Burma)",1999,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
"4523",-71.64056,10.63167,204104,"Venezuela",1999,0,"Americas",144937,0,0,1,202,217,-71.75,10.75,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,1
"4524",-71.43993,10.38828,204105,"Venezuela",1999,0.693147180559945,"Americas",144218,0,0,1,201,218,-71.25,10.25,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,2
"4525",-6.451944,6.874722,42864,"Ivory Coast",1999,0,"Africa",139308,0,0,0,194,348,-6.25,6.75,0,0,0,0,0,NA,NA,NA,0
"4526",83.08333,29.16667,102113,"Nepal",1999,0,"Asia",171887,0,0,0,239,527,83.25,29.25,0,0,0,0,0,NA,NA,NA,1
"4527",18.1897,2.059,24147,"DR Congo (Zaire)",1999,2.83321334405622,"Africa",132877,0,0,0,185,397,18.25,2.25,0,0,0,0,0,NA,NA,NA,17
"4528",15.048173,12.108502,12187,"Chad",1999,0,"Africa",147271,0,0,0,205,391,15.25,12.25,0,0,0,0,0,3892917388,8053536,22.0824246846971,0
"4529",6.083333,4.75,13893,"Nigeria",1999,0,"Africa",136453,0,0,1,190,373,6.25,4.75,0,0,0,0,1,1.61e+11,119260063,25.8046702019309,0
"4530",45.8855,43.5028,191489,"Russia (Soviet Union)",1999,1.38629436111989,"Europe",192692,0,0,1,268,452,45.75,43.75,0,0,0,0,1,NA,NA,NA,4
"4531",84.83333,28.33333,102181,"Nepal",2001,0.693147180559945,"Asia",170450,0,0,0,237,530,84.75,28.25,0,0,0,0,0,NA,NA,NA,2
"4532",44.8203,43.4052,191630,"Russia (Soviet Union)",1999,0,"Europe",191970,0,0,1,267,450,44.75,43.25,0,0,0,0,1,NA,NA,NA,1
"4533",98,22,49627,"Myanmar (Burma)",1999,0.693147180559945,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"4534",98,22,49877,"Myanmar (Burma)",1999,0.693147180559945,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"4535",45.6982,43.318,191422,"Russia (Soviet Union)",1999,3.61091791264422,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,37
"4536",84.41667,28.25,103670,"Nepal",2001,0,"Asia",170449,0,0,0,237,529,84.25,28.25,0,0,0,0,0,NA,NA,NA,1
"4537",97.274696,17.1325,50640,"Myanmar (Burma)",1999,0,"Asia",154635,0,0,0,215,555,97.25,17.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,1
