"","gedlong","gedlat","ID","event_country","year","civdeath","region"
"1191",-73.404402,3.022247,221210,"Colombia",1994,8,"Americas"
"1192",18.570596,-33.983511,13673,"South Africa",1994,1,"Africa"
"1193",-66.879193,10.488011,203070,"Venezuela",1994,1,"Americas"
"1194",18.383333,43.85,199556,"Bosnia-Herzegovina",1994,2,"Europe"
"1195",-68.00765,10.16202,203075,"Venezuela",1994,0,"Americas"
"1196",-68.00765,10.16202,203077,"Venezuela",1994,0,"Americas"
"1197",-66.879193,10.488011,203079,"Venezuela",1994,0,"Americas"
"1198",97.300331,22.616594,51161,"Myanmar (Burma)",1994,1,"Asia"
"1199",98,22,49689,"Myanmar (Burma)",1994,1,"Asia"
"1200",44.400876,33.340582,144902,"Iraq",1994,30,"Middle East"
"1201",-62.64102,8.35122,203081,"Venezuela",1994,2,"Americas"
"1202",-67.62361,5.66389,203082,"Venezuela",1994,1,"Americas"
"1203",-72.335,18.53917,193533,"Haiti",1994,6,"Americas"
"1204",28.069841,-26.199894,13464,"South Africa",1989,1,"Africa"
"1205",24.521506,-28.535366,13399,"South Africa",1994,1,"Africa"
"1206",74.75,34.16667,87763,"India",1990,0,"Asia"
"1207",14.352621,12.729794,22651,"Cameroon",1994,55,"Africa"
"1208",17.6575,44.171111,199089,"Bosnia-Herzegovina",1994,0,"Europe"
"1209",97.006681,19.867663,50159,"Myanmar (Burma)",1994,2,"Asia"
"1210",31.893293,-28.761974,17868,"South Africa",1994,1,"Africa"
"1211",27.699256,-26.28336,17818,"South Africa",1994,1,"Africa"
"1212",-72.59299,6.50567,220828,"Colombia",1990,11,"Americas"
"1213",28.400089,-26.295754,14262,"South Africa",1994,1,"Africa"
"1214",30.717694,-27.982991,17481,"South Africa",1994,1,"Africa"
"1215",24.58878,12.89457,210879,"Sudan",2015,2,"Africa"
"1216",98,22,49941,"Myanmar (Burma)",1994,1,"Asia"
"1217",28.264376,-25.381708,14996,"South Africa",1994,1,"Africa"
"1218",18.270833,43.950833,199081,"Bosnia-Herzegovina",1994,0,"Europe"
"1219",-66.879193,10.488011,203085,"Venezuela",1994,1,"Americas"
"1220",-67.59583,10.24694,203088,"Venezuela",1994,0,"Americas"
"1221",-66.879193,10.488011,203089,"Venezuela",1994,1,"Americas"
"1222",28.424922,-26.138159,17586,"South Africa",1989,1,"Africa"
"1223",-76,-9.16667,232156,"Peru",1994,40,"Americas"
"1224",-76.13438,-8.97419,236761,"Peru",1994,13,"Americas"
"1225",30.75,12,7984,"Sudan",1994,40,"Africa"
"1226",-91.71438,15.40718,196297,"Guatemala",1994,2,"Americas"
"1227",28.894979,-2.533755,226577,"Rwanda",1994,3,"Africa"
"1228",28.97033,-2.46134,226579,"Rwanda",1994,3,"Africa"
"1229",29.031445,-2.518776,226580,"Rwanda",1994,3,"Africa"
"1230",29.210283,-2.302521,226587,"Rwanda",1994,3,"Africa"
"1231",29.480314,-2.515367,226592,"Rwanda",1994,3,"Africa"
"1232",29.502069,-2.589868,226600,"Rwanda",1994,3,"Africa"
"1233",29.296944,-1.6825,226616,"Rwanda",1994,3,"Africa"
"1234",29.346389,-1.699722,226617,"Rwanda",1994,3,"Africa"
"1235",29.28667,-1.82833,226619,"Rwanda",1994,3,"Africa"
"1236",29.6251,-1.8084,226625,"Rwanda",1994,3,"Africa"
"1237",30.503439,-1.800784,226796,"Rwanda",1994,3,"Africa"
"1238",30.444404,-2.02566,226799,"Rwanda",1994,3,"Africa"
"1239",38.74689,9.02497,35614,"Ethiopia",1989,200,"Africa"
"1240",30.242618,-2.205033,226853,"Rwanda",1994,3,"Africa"
"1241",30.148253,-2.234558,226854,"Rwanda",1994,3,"Africa"
"1242",30.147383,-1.999806,226855,"Rwanda",1994,3,"Africa"
"1243",30.359404,-1.960411,226856,"Rwanda",1994,3,"Africa"
"1244",30.3332,-1.9323,226857,"Rwanda",1994,3,"Africa"
"1245",30.126111,-1.945833,226859,"Rwanda",1994,3,"Africa"
"1246",29.97,-1.764444,226862,"Rwanda",1994,3,"Africa"
"1247",29.5292,-1.587,226864,"Rwanda",1994,3,"Africa"
"1248",29.566667,-1.45,226865,"Rwanda",1994,3,"Africa"
"1249",29.652813,-1.708814,226866,"Rwanda",1994,3,"Africa"
"1250",29.383333,-1.616667,39705,"Rwanda",1994,200,"Africa"
"1251",29.783135,-1.645076,226869,"Rwanda",1994,3,"Africa"
"1252",30,-2,45108,"Rwanda",1994,300557,"Africa"
"1253",30.060556,-1.953611,32473,"Rwanda",1994,24,"Africa"
"1254",29.442778,-2.348611,39790,"Rwanda",1994,6,"Africa"
"1255",30.100278,-2.1625,39450,"Rwanda",1994,5000,"Africa"
"1256",30.060556,-1.953611,32987,"Rwanda",1994,101,"Africa"
"1257",30.053523,-1.593082,226569,"Rwanda",1994,3,"Africa"
"1258",29.564415,-2.685209,226595,"Rwanda",1994,3,"Africa"
"1259",29.46871,-2.615772,226598,"Rwanda",1994,3,"Africa"
"1260",29.659444,-2.461389,226602,"Rwanda",1994,3,"Africa"
"1261",29.555278,-2.265833,226605,"Rwanda",1994,3,"Africa"
"1262",29.519471,-2.350689,226609,"Rwanda",1994,3,"Africa"
"1263",29.449852,-2.417317,226611,"Rwanda",1994,3,"Africa"
"1264",29.755633,-1.893349,226663,"Rwanda",1994,3,"Africa"
"1265",30.6199,-1.913897,226807,"Rwanda",1994,3,"Africa"
"1266",30.421359,-2.132678,226813,"Rwanda",1994,3,"Africa"
"1267",30.720625,-2.27957,226818,"Rwanda",1994,3,"Africa"
"1268",29.304705,-2.15234,226824,"Rwanda",1994,3,"Africa"
"1269",29.240795,-2.183919,226840,"Rwanda",1994,3,"Africa"
"1270",29.41503,-2.051003,226843,"Rwanda",1994,3,"Africa"
"1271",30.126111,-1.945833,33686,"Rwanda",1994,2,"Africa"
"1272",29.491995,-28.335849,16439,"South Africa",1994,1,"Africa"
"1273",35.509722,33.871944,144920,"Lebanon",1994,1,"Middle East"
"1274",30.083333,-1.916667,33619,"Rwanda",1994,0,"Africa"
"1275",29.63,-1.5,226863,"Rwanda",1994,100,"Africa"
"1276",29.6214,-2.7803,39393,"Rwanda",1994,301,"Africa"
"1277",29.492546,-2.673353,40041,"Rwanda",1994,2000,"Africa"
"1278",29.799055,-1.984366,226649,"Rwanda",1994,3,"Africa"
"1279",29.955262,-1.972724,226667,"Rwanda",1994,1,"Africa"
"1280",29.6019,-2.7428,39867,"Rwanda",1994,5500,"Africa"
"1281",30.060556,-1.953611,34460,"Rwanda",1994,20,"Africa"
"1282",29.587778,-2.044444,39587,"Rwanda",1994,2000,"Africa"
"1283",29.5208,-2.7788,39902,"Rwanda",1994,2000,"Africa"
"1284",30.541944,-2.164444,33716,"Rwanda",1994,1,"Africa"
"1285",29.349722,-2.055556,39631,"Rwanda",1994,0,"Africa"
"1286",29.7359,-2.7756,33002,"Rwanda",1994,2000,"Africa"
"1287",29.7489,-2.6995,39409,"Rwanda",1994,3,"Africa"
"1288",81.4997,7.75,77669,"Sri Lanka",1994,1,"Asia"
"1289",29.349722,-2.055556,39548,"Rwanda",1994,2000,"Africa"
"1290",29.6675,-2.5109,39964,"Rwanda",1994,1600,"Africa"
"1291",29.833611,-2.603333,226518,"Rwanda",1994,3,"Africa"
"1292",29.842464,-2.045538,226651,"Rwanda",1994,3,"Africa"
"1293",29.6853,-2.6677,39935,"Rwanda",1994,20,"Africa"
"1294",29.7431,-2.6038,39518,"Rwanda",1994,20,"Africa"
"1295",29.7431,-2.6038,40019,"Rwanda",1994,6,"Africa"
"1296",29.952371,-2.111774,226674,"Rwanda",1994,3,"Africa"
"1297",29.7431,-2.6038,39708,"Rwanda",1994,15,"Africa"
"1298",29.719,-2.5912,39891,"Rwanda",1994,1100,"Africa"
"1299",29.7431,-2.6038,40002,"Rwanda",1994,11,"Africa"
"1300",30.060556,-1.953611,40111,"Rwanda",1994,16,"Africa"
"1301",125.668333,7.3075,121734,"Philippines",1994,1,"Asia"
"1302",29.689026,-2.586165,226511,"Rwanda",1994,3,"Africa"
"1303",29.930686,-2.457631,226512,"Rwanda",1994,3,"Africa"
"1304",29.803397,-2.521404,226513,"Rwanda",1994,3,"Africa"
"1305",29.733917,-2.52749,226514,"Rwanda",1994,3,"Africa"
"1306",29.670196,-2.351505,226519,"Rwanda",1994,3,"Africa"
"1307",29.773,-2.4302,226520,"Rwanda",1994,3,"Africa"
"1308",29.7431,-2.6038,39420,"Rwanda",1994,400,"Africa"
"1309",29.7431,-2.6038,39425,"Rwanda",1994,8,"Africa"
"1310",29.7431,-2.6038,39681,"Rwanda",1994,6,"Africa"
"1311",29.842464,-1.90877,226672,"Rwanda",1994,3,"Africa"
"1312",29.882966,-2.429625,226523,"Rwanda",1994,3,"Africa"
"1313",29.7422,-2.1575,226655,"Rwanda",1994,3,"Africa"
"1314",29.85693,-1.729746,226849,"Rwanda",1994,3,"Africa"
"1315",29.7431,-2.6038,39740,"Rwanda",1994,218,"Africa"
"1316",29.7431,-2.6038,39825,"Rwanda",1994,34,"Africa"
"1317",35.059259,32.318469,177166,"Israel",1990,1,"Middle East"
"1318",17.810833,43.117222,199532,"Bosnia-Herzegovina",1994,1,"Europe"
"1319",29.5591,-2.6465,33761,"Rwanda",1994,90,"Africa"
"1320",18.808333,44.872778,199525,"Bosnia-Herzegovina",1994,4,"Europe"
"1321",29.573888,-2.463972,39467,"Rwanda",1994,88,"Africa"
"1322",97.866667,20.516667,49523,"Myanmar (Burma)",1994,2,"Asia"
"1323",29.341218,-2.178985,142243,"Rwanda",1994,20000,"Africa"
"1324",29.341218,-2.178985,142244,"Rwanda",1994,10000,"Africa"
"1325",104.55,12.16667,110909,"Cambodia (Kampuchea)",1994,2,"Asia"
"1326",-71.64056,10.63167,203116,"Venezuela",1994,0,"Americas"
"1327",-67.59583,10.24694,203115,"Venezuela",1994,1,"Americas"
"1328",7.28396,4.65379,17053,"Nigeria",1994,2,"Africa"
"1329",7.48434,4.61566,17061,"Nigeria",1994,1,"Africa"
"1330",97.300331,22.616594,51164,"Myanmar (Burma)",1994,1,"Asia"
"1331",7.348955,4.681393,17074,"Nigeria",1994,2,"Africa"
"1332",7.28347,4.66049,17046,"Nigeria",1994,1,"Africa"
"1333",92.360793,20.922044,49257,"Myanmar (Burma)",1994,4,"Asia"
"1334",98,22,49906,"Myanmar (Burma)",1994,1,"Asia"
"1335",7.38945,4.79753,17073,"Nigeria",1994,5,"Africa"
"1336",-3.005588,16.770456,11886,"Mali",1994,50,"Africa"
"1337",92.320319,20.8614,51213,"Myanmar (Burma)",1994,1,"Asia"
"1338",-68.20028,10.48889,201675,"Venezuela",1994,1,"Americas"
"1339",-67.04325,10.34447,201103,"Venezuela",1990,0,"Americas"
"1340",7.991111,16.973333,24964,"Niger",1994,0,"Africa"
"1341",26.69955,-28.4179,14911,"South Africa",1990,1,"Africa"
"1342",-63.54086,8.12923,203585,"Venezuela",1994,1,"Americas"
"1343",36.816667,-1.283333,44423,"Kenya",1990,7,"Africa"
"1344",-1.291135,15.819607,12980,"Mali",1994,17,"Africa"
"1345",-90.535278,14.613333,196005,"Guatemala",1994,2,"Americas"
"1346",29.766111,-2.068056,39795,"Rwanda",1994,2000,"Africa"
"1347",44.290157,32.318748,145597,"Iraq",1994,0,"Middle East"
"1348",29.0044,-2.4791,39975,"Rwanda",1994,188,"Africa"
"1349",30,-2,39466,"Rwanda",1994,4200,"Africa"
"1350",29.745278,-3.306389,9615,"Burundi",1994,0,"Africa"
"1351",96.25,18.25,51073,"Myanmar (Burma)",1999,3,"Asia"
"1352",-66.879193,10.488011,203586,"Venezuela",1994,1,"Americas"
"1353",26.829902,-27.958711,18089,"South Africa",1990,1,"Africa"
"1354",-90.93333,14.73333,196009,"Guatemala",1994,1,"Americas"
"1355",25.644213,-25.86522,13525,"South Africa",1990,1,"Africa"
"1356",29.233333,-1.683333,23376,"DR Congo (Zaire)",1994,6,"Africa"
"1357",40.4,9.55,33915,"Ethiopia",1990,20,"Africa"
"1358",82.18333,29.27528,101234,"Nepal",2003,1,"Asia"
"1359",-66.879193,10.488011,203589,"Venezuela",1994,0,"Americas"
"1360",16.083333,8.566667,12315,"Chad",1994,6,"Africa"
"1361",31.35,27.066667,7050,"Egypt",1994,0,"Middle East"
"1362",16.083333,8.566667,12379,"Chad",1994,6,"Africa"
"1363",29.15,-1.6,39416,"DR Congo (Zaire)",1994,1,"Africa"
"1364",98,22,49866,"Myanmar (Burma)",1994,1,"Asia"
"1365",98,22,49550,"Myanmar (Burma)",1999,1,"Asia"
"1366",-16.666667,12.5,39115,"Senegal",1990,2,"Africa"
"1367",98,22,49666,"Myanmar (Burma)",1994,3,"Asia"
"1368",-10.804722,6.310556,43628,"Liberia",1990,4,"Africa"
"1369",92.529996,20.875369,49237,"Myanmar (Burma)",1994,1,"Asia"
"1370",34.303056,31.344444,180873,"Israel",2001,0,"Middle East"
"1371",68.773889,38.56,60862,"Tajikistan",1994,1,"Asia"
"1372",-43.2075,-22.90278,98029,"Brazil",1994,0,"Americas"
"1373",98.244408,15.833678,51468,"Myanmar (Burma)",1994,1,"Asia"
"1374",82.41667,28,103511,"Nepal",2002,3,"Asia"
"1375",-71.64056,10.63167,203770,"Venezuela",1994,0,"Americas"
"1376",44.400876,33.340582,144944,"Iraq",1994,2,"Middle East"
"1377",-66.879193,10.488011,203775,"Venezuela",1994,1,"Americas"
"1378",-43.2075,-22.90278,84044,"Brazil",1994,1,"Americas"
"1379",105.58333,12.08333,111427,"Cambodia (Kampuchea)",1994,1,"Asia"
"1380",29.959722,10.506944,7624,"Sudan",1995,17,"Africa"
"1381",126.366667,-8.783333,164020,"Indonesia",1995,2,"Asia"
"1382",-90.535278,14.613333,195854,"Guatemala",1995,1,"Americas"
"1383",84.83333,28.33333,101304,"Nepal",2002,1,"Asia"
"1384",97.7,17.7,50983,"Myanmar (Burma)",1995,2,"Asia"
"1385",30.75,12,7658,"Sudan",1995,45,"Africa"
"1386",-67.59583,10.24694,203788,"Venezuela",1995,1,"Americas"
"1387",-16.197222,12.523889,39253,"Senegal",1995,1,"Africa"
"1388",-66.9,10.566667,203791,"Venezuela",1995,0,"Americas"
"1389",-66.879193,10.488011,198306,"Venezuela",1989,1,"Americas"
"1390",70.939299,38.210712,191623,"Afghanistan",1995,4,"Asia"
"1391",97.7,17.7,51043,"Myanmar (Burma)",1995,1,"Asia"
"1392",97.7,17.7,51022,"Myanmar (Burma)",1995,1,"Asia"
"1393",97.274696,17.1325,50632,"Myanmar (Burma)",1995,1,"Asia"
"1394",97.7,17.7,48680,"Myanmar (Burma)",1995,1,"Asia"
"1395",-47.92972,-15.77972,98032,"Brazil",1995,1,"Americas"
"1396",-71.64056,10.63167,203794,"Venezuela",1995,0,"Americas"
"1397",99.686389,21.845556,49480,"Myanmar (Burma)",1995,4,"Asia"
"1398",98.331783,14.705158,50532,"Myanmar (Burma)",1995,1,"Asia"
"1399",97.274696,17.1325,50635,"Myanmar (Burma)",1995,2,"Asia"
"1400",-66.879193,10.488011,203796,"Venezuela",1995,0,"Americas"
"1401",18.342778,43.789167,199528,"Bosnia-Herzegovina",1995,0,"Europe"
"1402",97.851753,15.761408,49307,"Myanmar (Burma)",1995,1,"Asia"
"1403",-90.535278,14.613333,193731,"Guatemala",1990,1,"Americas"
"1404",97.933333,17.961944,50434,"Thailand",1995,2,"Asia"
"1405",6.788452,6.14543,15719,"Nigeria",2002,10,"Africa"
"1406",17.383056,45.255,200913,"Croatia",1995,2,"Europe"
"1407",80.41667,9.16667,76540,"Sri Lanka",1995,14,"Asia"
"1408",97.7,17.7,78147,"Myanmar (Burma)",1995,2,"Asia"
"1409",80.981,8.9403,77968,"Sri Lanka",1995,5,"Asia"
"1410",17.028056,45.320278,201022,"Croatia",1995,1,"Europe"
