"","oilLONG","oilLAT","oilnear","oil_country","oilyeardisc","diaLONG","diaLAT","dianear","dia_country","diayeardisc","DIAINFO","RESINFO","gedlong","gedlat","ID","event_country","year","civdeath","region","oilLATsq","oilLONGsq","oilLATcu","oilLONGcu","diaLATsq","diaLONGsq","diaLATcu","diaLONGcu","GDP","Population","logGDP","gedLATsq","gedLONGsq","gedLATcu","gedLONGcu","uncivdeath"
"63",123.98,10.96,588,"Philippines",NA,-60.12,6.13,579,"Guyana",NA,"S","alluvial",125.278333,11.661944,122955,"Philippines",1989,0,"Asia",120.1216,15371.0404,1316.532736,1905701.588792,37.5769,3614.4144,230.346397,-217298.593728,91734099781,60340767,25.2421600094734,136.000937859136,15694.6607192589,1586.03532126072,1966200.93190933,1
"64",13.8,-10.29,861,"Angola",NA,17.43,-29.62,879,"South Africa",NA,"S","secondary; kimberlite",24.583333,-12,24262,"Zambia",1993,0,"Africa",105.8841,190.44,-1089.547389,2628.072,877.3444,303.8049,-25986.941128,5295.319407,NA,NA,NA,144,604.340261388889,-1728,14856.6978910301,1
"65",13.8,-10.29,861,"Angola",NA,NA,NA,27,NA,NA,NA,NA,15.283333,-15.766667,20893,"Angola",1994,0,"Africa",105.8841,190.44,-1089.547389,2628.072,NA,NA,NA,NA,23311730284,13503747,23.8722225164971,248.587788288889,233.580267588889,-3919.40087821741,3569.8850117901,0
"66",13.8,-10.29,861,"Angola",NA,NA,NA,27,NA,NA,NA,NA,15.739167,-12.776111,21411,"Angola",1994,0,"Africa",105.8841,190.44,-1089.547389,2628.072,NA,NA,NA,NA,23311730284,13503747,23.8722225164971,163.229012284321,247.721377853889,-2085.43197936485,3898.92813551246,0
"67",65.73,36.46,794,"Afghanistan",1956,0,0,560,"Guinea",NA,"S","alluvial",66.564339,35.857857,142403,"Afghanistan",2000,3.2188758248682,"Asia",1329.3316,4320.4329,48467.430136,283982.054517,0,0,0,0,NA,20779953,NA,1285.78590863245,4430.81122650692,46105.5272443574,294934.020526213,25
"68",30.32,8.47,890,"Sudan",1998,-10.5,7.32,733,"Liberia",NA,"S","alluvial gravels",30.219444,-2.852778,10364,"Burundi",1995,5.99146454710798,"Africa",71.7409,919.3024,607.645423,27873.248768,53.5824,110.25,392.223168,-1157.625,NA,NA,NA,8.138342317284,913.214795669136,-23.2168839192168,27596.8433776949,400
"69",99.24,19.84,576,"Thailand",1945,-48.33,-18.38,320,"Brazil",1946,"S","alluvial",98.546667,21.039444,50676,"Myanmar (Burma)",2000,3.40119738166216,"Asia",393.6256,9848.5776,7809.531904,977372.841024,337.8244,2335.7889,-6209.212472,-112888.677537,15984737490,46719701,23.4949001970525,442.658203829136,9711.44557680889,9313.28249060369,957030.593346408,30
"70",44.8,1.97,807,"Somalia",1965,-10.33,7.63,738,"Liberia",NA,"S","alluvial",36.816667,-1.283333,44157,"Kenya",2007,1.38629436111989,"Africa",3.8809,2007.04,7.645373,89915.392,58.2169,106.7089,444.194947,-1102.302937,NA,NA,NA,1.646943588889,1355.46696898889,-2.11357705675969,49903.7760267633,4
"71",44.8,1.97,807,"Somalia",1965,-10.33,7.63,738,"Liberia",NA,"S","alluvial",36.816667,-1.283333,44174,"Kenya",2008,0.693147180559945,"Africa",3.8809,2007.04,7.645373,89915.392,58.2169,106.7089,444.194947,-1102.302937,NA,NA,NA,1.646943588889,1355.46696898889,-2.11357705675969,49903.7760267633,2
"72",44.8,1.97,807,"Somalia",1965,-10.33,7.63,738,"Liberia",NA,"S","alluvial",36.816667,-1.283333,43773,"Kenya",2008,0.693147180559945,"Africa",3.8809,2007.04,7.645373,89915.392,58.2169,106.7089,444.194947,-1102.302937,NA,NA,NA,1.646943588889,1355.46696898889,-2.11357705675969,49903.7760267633,2
